Date,Price,Volume
6/3/2026,1388.08,50220
7/3/2026,636.54,32928
8/3/2026,1616.36,81096
9/3/2026,128.62,31060
10/3/2026,1776.2,82961
11/3/2026,1494.38,18810
12/3/2026,1178.17,42599
13/3/2026,1277.91,91481
14/3/2026,204.43,76975
15/3/2026,1642.74,3025
16/3/2026,1131.87,20733
17/3/2026,1314.25,36205
18/3/2026,484.01,87907
19/3/2026,1118.77,98288
20/3/2026,1506.95,69923
21/3/2026,1625.73,15248
22/3/2026,714.56,27763
23/3/2026,194.31,92796
24/3/2026,1339.46,86991
25/3/2026,1893.92,27305
26/3/2026,1254.11,20986
27/3/2026,968.74,4686
28/3/2026,1885.08,11764
29/3/2026,833.86,15816
30/3/2026,1617.99,49765
31/3/2026,1243.59,26973
1/4/2026,1766.91,70217
2/4/2026,142.7,41626
3/4/2026,838.6,46163
4/4/2026,115.22,39081
